Protein,Regressor,Case,Normalization,Train/Test,MAPE,NRMSE,Pearson,R2,RMSE,Spearman,Pearson Improvement,Spearman Improvement
BRCA2,ElasticNet,NMostVariableGenes_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,NMostVariableGenes_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,NMostVariableGenes_Mutations,TMM,Train,164.0983317,0.116122239,0.468785565,0.162286462,0.178508983,0.456587209,0.46542147,0.450084976
BRCA2,ElasticNet,NMostVariableGenes_Mutations,TMM,Test,149.3105564,0.173713675,0.240665905,0.034465952,0.189475662,0.246507504,,
BRCA2,ElasticNet,NMostVariableGenes_Mutations,UN,Train,211.9840383,0.067018317,0.848599193,0.720293759,0.103056634,0.825317366,0.821448129,0.801378318
BRCA2,ElasticNet,NMostVariableGenes_Mutations,UN,Test,1103.723054,2.516350778,0.035756386,-1044.911075,3.423051729,0.075314006,0.117888746,0.142984846
BRCA2,ElasticNet,NMostVariableGenes_Mutations,ZScore,Train,117.600974,0.111533156,0.543919973,0.227211618,0.171398132,0.395895889,0.516768909,0.371956841
ERBB2,ElasticNet,AllmRNA_Mutations,ZScore,Test,478.3895579,0.108233357,0.810571014,0.651749052,0.581088506,0.65141794,0.048755496,0.014230302
BRCA2,ElasticNet,NRandomGenes_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,NRandomGenes_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,NRandomGenes_Mutations,TMM,Train,123.2111365,0.124240957,0.272926351,0.04130288,0.190977542,0.263695761,0.269562255,0.257193529
BRCA2,ElasticNet,NRandomGenes_Mutations,TMM,Test,124.6588951,0.17769217,0.092100868,-0.012705014,0.194269713,0.09781851,,
BRCA2,ElasticNet,NRandomGenes_Mutations,UN,Train,206.9064757,0.07202373,0.823309456,0.677437036,0.110723382,0.791052168,0.796158391,0.76711312
BRCA2,ElasticNet,NRandomGenes_Mutations,UN,Test,692.6504581,0.578262657,0.112280851,-14.9665769,0.607245618,0.145749624,0.194413211,0.213420463
BRCA2,ElasticNet,NRandomGenes_Mutations,ZScore,Train,163.7812495,0.112272227,0.519427181,0.21678982,0.17259623,0.479474472,0.492276116,0.455535424
ERBB2,ElasticNet,AllInteractionPartners_Mutations,ZScore,Test,409.9424761,0.109559694,0.808537457,0.643337284,0.586345534,0.660282011,0.04672194,0.023094372
BRCA2,ElasticNet,ThousandMostVariableGenes_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,ThousandMostVariableGenes_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,ThousandMostVariableGenes_Mutations,TMM,Train,171.578035,0.109137314,0.585985301,0.259912794,0.167754135,0.562658673,0.582621205,0.55615644
BRCA2,ElasticNet,ThousandMostVariableGenes_Mutations,TMM,Test,170.0550688,0.169266706,0.333004663,0.083825695,0.184525597,0.320051921,,
BRCA2,ElasticNet,ThousandMostVariableGenes_Mutations,UN,Train,0.887291809,0.000218411,0.999998713,0.999997027,0.000335639,0.999993584,0.972847649,0.976054535
BRCA2,ElasticNet,ThousandMostVariableGenes_Mutations,UN,Test,960.6478665,0.883278235,0.00967062,-40.26612095,1.043807687,0.070012364,0.091802979,0.137683204
BRCA2,ElasticNet,ThousandMostVariableGenes_Mutations,ZScore,Train,127.2560057,0.100660066,0.690512757,0.370317323,0.15469214,0.591033633,0.663361693,0.567094585
CCNE1,ElasticNet,Top100InteractionPartners_Mutations,ZScore,Test,62.97094411,0.110267993,0.805008009,0.636672155,0.285021589,0.641608301,0.040632118,-0.074188603
BRCA2,ElasticNet,Top100InteractionPartners_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,Top100InteractionPartners_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,Top100InteractionPartners_Mutations,TMM,Train,117.5007174,0.126681535,,0.003315819,0.194722948,,,
BRCA2,ElasticNet,Top100InteractionPartners_Mutations,TMM,Test,116.8346009,0.178786362,,-0.023516481,0.195230823,,,
BRCA2,ElasticNet,Top100InteractionPartners_Mutations,UN,Train,242.3259387,0.108715195,0.515558702,0.26583945,0.167109324,0.469248503,0.488407637,0.445309455
BRCA2,ElasticNet,Top100InteractionPartners_Mutations,UN,Test,316.6085759,0.19367076,0.184707823,-0.197531433,0.209630146,0.181269942,0.266840183,0.248940781
BRCA2,ElasticNet,Top100InteractionPartners_Mutations,ZScore,Train,169.7468325,0.118204162,0.394947704,0.132086044,0.181710186,0.386041213,0.367796639,0.362102165
ERBB2,ElasticNet,selfmRNA_Polynomial,ZScore,Test,301.7078368,0.111958965,0.803776459,0.627486875,0.598677706,0.637128286,0.041960941,-5.94E-05
BRCA2,ElasticNet,selfmRNA,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,selfmRNA,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,selfmRNA,TMM,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,selfmRNA,TMM,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,selfmRNA,UN,Train,116.9530629,0.126831969,0.027151065,0.00095426,0.194956717,0.023939048,2.08E-17,0
BRCA2,ElasticNet,selfmRNA,UN,Test,118.163884,0.17938095,-0.082132359,-0.029996063,0.195823565,-0.06767084,0,0
BRCA2,ElasticNet,selfmRNA,ZScore,Train,115.848067,0.126892719,,0,0.195050248,,,
CCNE1,ElasticNet,AllmRNA_Mutations,ZScore,Test,64.31959746,0.114973042,0.791640556,0.603093734,0.302581771,0.655483008,0.027264665,-0.060313896
BRCA2,ElasticNet,selfmRNA_CNA_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,selfmRNA_CNA_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,selfmRNA_CNA_Mutations,TMM,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,selfmRNA_CNA_Mutations,TMM,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,selfmRNA_CNA_Mutations,UN,Train,116.9530629,0.126831969,0.027151065,0.00095426,0.194956717,0.023939048,2.08E-17,0
BRCA2,ElasticNet,selfmRNA_CNA_Mutations,UN,Test,118.163884,0.17938095,-0.082132359,-0.029996063,0.195823565,-0.06767084,0,0
BRCA2,ElasticNet,selfmRNA_CNA_Mutations,ZScore,Train,115.848067,0.126892719,,0,0.195050248,,,
ERBB2,ElasticNet,Top100InteractionPartners_Mutations,ZScore,Test,442.1446325,0.114349463,0.790939627,0.612248144,0.61123738,0.597033971,0.029124109,-0.040153668
BRCA2,ElasticNet,selfmRNA_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,selfmRNA_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,selfmRNA_Mutations,TMM,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,selfmRNA_Mutations,TMM,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,selfmRNA_Mutations,UN,Train,116.9530629,0.126831969,0.027151065,0.00095426,0.194956717,0.023939048,2.08E-17,0
BRCA2,ElasticNet,selfmRNA_Mutations,UN,Test,118.163884,0.17938095,-0.082132359,-0.029996063,0.195823565,-0.06767084,0,0
BRCA2,ElasticNet,selfmRNA_Mutations,ZScore,Train,115.848067,0.126892719,,0,0.195050248,,,
ERBB2,ElasticNet,NRandomGenes_Mutations,ZScore,Test,358.8702809,0.113523565,0.79065014,0.616583728,0.609475229,0.593215386,0.028834623,-0.043972253
BRCA2,ElasticNet,selfmRNA_Polynomial,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,selfmRNA_Polynomial,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,selfmRNA_Polynomial,TMM,Train,115.8285642,0.126892126,,9.44E-06,0.195049326,,,
BRCA2,ElasticNet,selfmRNA_Polynomial,TMM,Test,114.7945697,0.178817677,,-0.023848649,0.195267019,,,
BRCA2,ElasticNet,selfmRNA_Polynomial,UN,Train,121.3726569,0.126734708,0.048842083,0.002482653,0.194809141,0.033956618,0.021691018,0.010017569
BRCA2,ElasticNet,selfmRNA_Polynomial,UN,Test,122.090788,0.180064528,-0.103771377,-0.038416437,0.196666742,-0.083306986,-0.021639017,-0.015636147
BRCA2,ElasticNet,selfmRNA_Polynomial,ZScore,Train,116.8457642,0.126827293,,0.001020271,0.19495136,,,
CCNE1,ElasticNet,NRandomGenes_Mutations,ZScore,Test,67.85724797,0.114663529,0.785617712,0.608637356,0.296579438,0.616880128,0.021241821,-0.098916775
BRCA2,LinearRegression,AllInteractionPartners_Mutations,MinMax,Train,279.3017432,0.069606208,0.836065374,0.699054265,0.106998535,0.808193402,0.80891431,0.784254354
BRCA2,LinearRegression,AllInteractionPartners_Mutations,MinMax,Test,962.4628511,0.397881462,-0.007248744,-4.067420641,0.414578334,-0.012745182,0.074883616,0.054925658
BRCA2,LinearRegression,AllInteractionPartners_Mutations,TMM,Train,625.9134474,0.181394518,0.278043347,-1.246812926,0.279149007,0.279049277,0.274679251,0.272547045
BRCA2,LinearRegression,AllInteractionPartners_Mutations,TMM,Test,1.1357E+14,5.50111E+11,-0.002545915,-2.03E+25,4.52423E+11,0.118513599,,
BRCA2,LinearRegression,AllInteractionPartners_Mutations,UN,Train,279.3017432,0.069606208,0.836065374,0.699054265,0.106998535,0.808193402,0.80891431,0.784254354
BRCA2,LinearRegression,AllInteractionPartners_Mutations,UN,Test,962.4628511,0.397881462,-0.007248744,-4.067420641,0.414578334,-0.012745182,0.074883616,0.054925658
BRCA2,LinearRegression,AllInteractionPartners_Mutations,ZScore,Train,279.3017432,0.069606208,0.836065374,0.699054265,0.106998535,0.808193402,0.80891431,0.784254354
BRCA2,LinearRegression,AllmRNA_Mutations,ZScore,Test,336.3258042,0.185186718,0.229037783,-0.09905078,0.201249718,0.218118223,0.311170142,0.285789063
BRCA2,LinearRegression,AllmRNA_Mutations,MinMax,Train,2.96E-12,7.45E-16,1,1,1.15E-15,0.999999919,0.972848935,0.976060871
BRCA2,LinearRegression,AllmRNA_Mutations,MinMax,Test,403.2533176,0.189279512,0.215839385,-0.150666717,0.205712245,0.201110264,0.297971744,0.268781103
BRCA2,LinearRegression,AllmRNA_Mutations,TMM,Train,1.49E-11,5.79E-15,1,1,8.79E-15,0.999999919,0.996635904,0.993497686
BRCA2,LinearRegression,AllmRNA_Mutations,TMM,Test,311.8332794,0.182193794,0.239882135,-0.063930674,0.197806009,0.233234889,,
BRCA2,LinearRegression,AllmRNA_Mutations,UN,Train,6.19E-12,1.55E-15,1,1,2.39E-15,0.999999919,0.972848935,0.976060871
BRCA2,LinearRegression,AllmRNA_Mutations,UN,Test,834.7581257,0.29821876,0.106862704,-1.907358997,0.321942548,0.143323237,0.188995063,0.210994076
BRCA2,LinearRegression,AllmRNA_Mutations,ZScore,Train,3.31E-12,6.29E-16,1,1,9.69E-16,0.999999919,0.972848935,0.976060871
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,ZScore,Test,339.1398022,0.238887718,0.132228306,-0.909923169,0.245093263,0.166821666,0.214360665,0.234492505
BRCA2,LinearRegression,NMostVariableGenes_Mutations,MinMax,Train,279.1467601,0.06594057,0.854187856,0.729688833,0.101383578,0.819509366,0.827036792,0.795570318
BRCA2,LinearRegression,NMostVariableGenes_Mutations,MinMax,Test,725.897325,0.313442774,0.105110171,-2.084583474,0.333917539,0.103150434,0.187242531,0.170821274
BRCA2,LinearRegression,NMostVariableGenes_Mutations,TMM,Train,268.4402969,0.069122815,0.838320153,0.702895461,0.106219811,0.808522294,0.834956057,0.802020062
BRCA2,LinearRegression,NMostVariableGenes_Mutations,TMM,Test,916.3450202,0.3027616,0.093566952,-1.92980523,0.324485166,0.085965353,,
BRCA2,LinearRegression,NMostVariableGenes_Mutations,UN,Train,210.3986793,0.066681322,0.850199637,0.723030066,0.102545057,0.827912038,0.823048572,0.80397299
BRCA2,LinearRegression,NMostVariableGenes_Mutations,UN,Test,1120.590749,2.51092605,0.034551331,-1022.803986,3.409568433,0.070411182,0.11668369,0.138082022
BRCA2,LinearRegression,NMostVariableGenes_Mutations,ZScore,Train,198.6487688,0.068085188,0.843444964,0.711574656,0.104673638,0.812886519,0.816293899,0.788947471
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,ZScore,Test,679.7744962,0.33706734,0.050700757,-2.614723569,0.355516874,0.050662219,0.132833117,0.118333058
BRCA2,LinearRegression,NRandomGenes_Mutations,MinMax,Train,286.5651385,0.068397045,0.842075527,0.709153378,0.105132759,0.817103393,0.814924463,0.793164345
BRCA2,LinearRegression,NRandomGenes_Mutations,MinMax,Test,751.6637241,1.391170384,0.084206079,-129.831892,1.419441223,0.166138972,0.166338438,0.233809812
BRCA2,LinearRegression,NRandomGenes_Mutations,TMM,Train,305.7187108,0.120927725,0.496179042,0.087913478,0.185847111,0.464111156,0.492814946,0.457608923
BRCA2,LinearRegression,NRandomGenes_Mutations,TMM,Test,9.82279E+14,1.14585E+12,-0.034398536,-8.72E+25,1.36164E+12,0.084545134,,
BRCA2,LinearRegression,NRandomGenes_Mutations,UN,Train,197.6866955,0.067571369,0.846142735,0.716065158,0.103871944,0.818188129,0.818991671,0.79424908
BRCA2,LinearRegression,NRandomGenes_Mutations,UN,Test,915.3244413,0.752246727,0.087975662,-21.43211177,0.790019771,0.113763778,0.170108021,0.181434618
BRCA2,LinearRegression,NRandomGenes_Mutations,ZScore,Train,220.1611874,0.066379814,0.851918715,0.725857305,0.102048628,0.814494659,0.82476765,0.790555611
BRCA2,LinearRegression,NRandomGenes_Mutations,ZScore,Test,1280.88021,2.637342043,0.046154472,-582.0512405,2.704544865,0.127255393,0.128286832,0.194926233
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,MinMax,Train,2.89E-12,6.18E-16,1,1,9.51E-16,0.999999927,0.972848935,0.976060878
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,MinMax,Test,696.4632789,0.308961065,0.018273433,-2.040623758,0.332944392,0.029230686,0.100405793,0.096901525
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,TMM,Train,3.29E-12,9.21E-16,1,1,1.42E-15,0.999999919,0.996635904,0.993497686
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,TMM,Test,658.4846873,0.269478971,0.058217823,-1.317035939,0.289727845,0.061614259,,
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,UN,Train,3.96E-12,1.03E-15,1,1,1.58E-15,0.999999919,0.972848935,0.976060871
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,UN,Test,1094.374293,0.463552392,0.038403561,-6.30840091,0.503735903,0.063340073,0.120535921,0.131010912
BRCA2,LinearRegression,ThousandMostVariableGenes_Mutations,ZScore,Train,2.30E-12,5.90E-16,1,1,9.07E-16,0.999999919,0.972848935,0.976060871
BRCA2,LinearRegression,NMostVariableGenes_Mutations,ZScore,Test,8.14633E+13,6.39668E+11,0.031227668,-2.43E+25,5.49389E+11,0.062624912,0.113360027,0.130295752
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,MinMax,Train,258.3788708,0.108270595,0.521333563,0.271859769,0.166423005,0.473928383,0.494182499,0.449989335
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,MinMax,Test,339.1398022,0.238887718,0.132228306,-0.909923169,0.245093263,0.166821666,0.214360665,0.234492505
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,TMM,Train,165.5793877,0.123891709,0.221715524,0.0467085,0.190423975,0.195771218,0.218351428,0.189268985
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,TMM,Test,59646081963,422370169,0.019948237,-1.31E+19,344470199.2,0.074623862,,
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,UN,Train,258.3788708,0.108270595,0.521333563,0.271859769,0.166423005,0.473928383,0.494182499,0.449989335
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,UN,Test,339.1398022,0.238887718,0.132228306,-0.909923169,0.245093263,0.166821666,0.214360665,0.234492505
BRCA2,LinearRegression,Top100InteractionPartners_Mutations,ZScore,Train,258.3788708,0.108270595,0.521333563,0.271859769,0.166423005,0.473928383,0.494182499,0.449989335
BRCA2,LinearRegression,AllInteractionPartners_Mutations,ZScore,Test,962.4628511,0.397881462,-0.007248744,-4.067420641,0.414578334,-0.012745182,0.074883616,0.054925658
BRCA2,LinearRegression,selfmRNA,MinMax,Train,116.9782256,0.126831963,0.027151065,0.000954342,0.194956709,0.023939048,0,0
BRCA2,LinearRegression,selfmRNA,MinMax,Test,118.2047208,0.17938743,-0.082132359,-0.030067302,0.195830214,-0.06767084,0,0
BRCA2,LinearRegression,selfmRNA,TMM,Train,115.7328466,0.126891319,0.003364096,2.22E-05,0.195048076,0.006502233,0,0
BRCA2,LinearRegression,selfmRNA,TMM,Test,114.7366281,0.178835162,,-0.024105981,0.195291265,,,
BRCA2,LinearRegression,selfmRNA,UN,Train,116.9782256,0.126831963,0.027151065,0.000954342,0.194956709,0.023939048,0,0
BRCA2,LinearRegression,selfmRNA,UN,Test,118.2047208,0.17938743,-0.082132359,-0.030067302,0.195830214,-0.06767084,0,0
BRCA2,LinearRegression,selfmRNA,ZScore,Train,116.9782256,0.126831963,0.027151065,0.000954342,0.194956709,0.023939048,0,0
BRCA2,LinearRegression,selfmRNA,ZScore,Test,118.2047208,0.17938743,-0.082132359,-0.030067302,0.195830214,-0.06767084,0,0
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,MinMax,Train,116.3356364,0.1267855,0.040349394,0.0016844,0.194886241,0.034860337,0.013198329,0.010921289
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,MinMax,Test,118.7125458,0.179719606,-0.088843665,-0.034104034,0.196231831,-0.090925663,-0.006711306,-0.023254824
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,TMM,Train,116.3558987,0.126652546,0.060447452,0.003767129,0.194681856,0.060874802,0.057083356,0.054372569
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,TMM,Test,116.0726435,0.178926814,0.036559085,-0.024585098,0.195292623,0.025660276,,
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,UN,Train,116.3356364,0.1267855,0.040349394,0.0016844,0.194886241,0.034860337,0.013198329,0.010921289
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,UN,Test,118.7125458,0.179719606,-0.088843665,-0.034104034,0.196231831,-0.090925663,-0.006711306,-0.023254824
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,ZScore,Train,116.3356364,0.1267855,0.040349394,0.0016844,0.194886241,0.034860337,0.013198329,0.010921289
BRCA2,LinearRegression,selfmRNA_Polynomial,ZScore,Test,122.1671841,0.182005355,-0.084176946,-0.058964239,0.198440087,-0.059065426,-0.002044587,0.008605413
BRCA2,LinearRegression,selfmRNA_Mutations,MinMax,Train,117.3858659,0.126811179,0.033318952,0.001282983,0.194925216,0.02875598,0.006167887,0.004816931
BRCA2,LinearRegression,selfmRNA_Mutations,MinMax,Test,119.5265157,0.179567734,-0.08763707,-0.032342704,0.196059832,-0.086119358,-0.00550471,-0.018448519
BRCA2,LinearRegression,selfmRNA_Mutations,TMM,Train,116.2594392,0.126870931,0.015742611,0.000344977,0.195017175,0.01436917,0.012378515,0.007866937
BRCA2,LinearRegression,selfmRNA_Mutations,TMM,Test,116.1445254,0.179015492,-0.054157613,-0.026313912,0.195515575,-0.072184964,,
BRCA2,LinearRegression,selfmRNA_Mutations,UN,Train,117.3858659,0.126811179,0.033318952,0.001282983,0.194925216,0.02875598,0.006167887,0.004816931
BRCA2,LinearRegression,selfmRNA_Mutations,UN,Test,119.5265157,0.179567734,-0.08763707,-0.032342704,0.196059832,-0.086119358,-0.00550471,-0.018448519
BRCA2,LinearRegression,selfmRNA_Mutations,ZScore,Train,117.3858659,0.126811179,0.033318952,0.001282983,0.194925216,0.02875598,0.006167887,0.004816931
BRCA2,LinearRegression,selfmRNA_Mutations,ZScore,Test,119.5265157,0.179567734,-0.08763707,-0.032342704,0.196059832,-0.086119358,-0.00550471,-0.018448519
BRCA2,LinearRegression,selfmRNA_Polynomial,MinMax,Train,122.7892744,0.126628077,0.064234811,0.004159208,0.194644586,0.0418986,0.037083746,0.017959551
BRCA2,LinearRegression,selfmRNA_Polynomial,MinMax,Test,120.4388597,0.180480694,-0.073121295,-0.043512706,0.197120874,-0.095458904,0.009011064,-0.027788064
BRCA2,LinearRegression,selfmRNA_Polynomial,TMM,Train,111.1796361,0.127019338,0.004486081,-0.001985206,0.195245077,0.017147312,0.001121985,0.010645079
BRCA2,LinearRegression,selfmRNA_Polynomial,TMM,Test,110.5710353,0.178694839,,-0.022567728,0.195147214,,,
BRCA2,LinearRegression,selfmRNA_Polynomial,UN,Train,124.8221539,0.126650023,0.061410381,0.003813001,0.19467817,0.04451532,0.034259317,0.020576272
BRCA2,LinearRegression,selfmRNA_Polynomial,UN,Test,122.2027181,0.180643953,-0.08425002,-0.045169538,0.197269787,-0.107804199,-0.002117661,-0.04013336
BRCA2,LinearRegression,selfmRNA_Polynomial,ZScore,Train,122.5287974,0.126564419,0.070671024,0.005147823,0.194545681,0.056724217,0.043519959,0.032785169
BRCA2,LinearRegression,selfmRNA_CNA_Mutations,ZScore,Test,118.7125458,0.179719606,-0.088843665,-0.034104034,0.196231831,-0.090925663,-0.006711306,-0.023254824
BRCA2,Mean,AllInteractionPartners_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllInteractionPartners_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,AllInteractionPartners_Mutations,TMM,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllInteractionPartners_Mutations,TMM,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,AllInteractionPartners_Mutations,UN,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllInteractionPartners_Mutations,UN,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,AllInteractionPartners_Mutations,ZScore,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllInteractionPartners_Mutations,ZScore,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,AllmRNA_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllmRNA_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,AllmRNA_Mutations,TMM,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllmRNA_Mutations,TMM,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,AllmRNA_Mutations,UN,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllmRNA_Mutations,UN,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,AllmRNA_Mutations,ZScore,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,AllmRNA_Mutations,ZScore,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,NMostVariableGenes_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,NMostVariableGenes_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,NMostVariableGenes_Mutations,TMM,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,NMostVariableGenes_Mutations,TMM,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,NMostVariableGenes_Mutations,UN,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,NMostVariableGenes_Mutations,UN,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,NMostVariableGenes_Mutations,ZScore,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,NMostVariableGenes_Mutations,ZScore,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,NRandomGenes_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,NRandomGenes_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,NRandomGenes_Mutations,TMM,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,Mean,NRandomGenes_Mutations,TMM,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,Mean,NRandomGenes_Mutations,UN,Train,115.848067,0.126892719,,0,0.195050248,,,
